Номер отсчёта;Время, с;Напряжение 2_19.06_lmax-1, В
485;-90,28;0,0272
486;-90,26;0,0272
487;-90,24;0,0272
488;-90,22;0,0276
489;-90,2;0,0272
490;-90,18;0,0276
491;-90,16;0,0276
492;-90,14;0,0272
493;-90,12;0,0272
494;-90,1;0,0272
495;-90,08;0,0272
496;-90,06;0,0272
497;-90,04;0,0272
498;-90,02;0,0264
499;-90;0,0264
500;-89,98;0,0264
501;-89,96;0,0272
502;-89,94;0,0272
503;-89,92;0,0272
504;-89,9;0,0272
505;-89,88;0,0264
506;-89,86;0,026
507;-89,84;0,026
508;-89,82;0,0272
509;-89,8;0,0272
510;-89,78;0,026
511;-89,76;0,026
512;-89,74;0,0248
513;-89,72;0,0256
514;-89,7;0,0256
515;-89,68;0,0248
516;-89,66;0,0248
517;-89,64;0,026
518;-89,62;0,0264
519;-89,6;0,0272
520;-89,58;0,0264
521;-89,56;0,0264
522;-89,54;0,0264
523;-89,52;0,026
524;-89,5;0,0264
525;-89,48;0,026
526;-89,46;0,0256
527;-89,44;0,026
528;-89,42;0,0264
529;-89,4;0,0272
530;-89,38;0,026
531;-89,36;0,0264
532;-89,34;0,0272
533;-89,32;0,0272
534;-89,3;0,0272
535;-89,28;0,0256
536;-89,26;0,026
537;-89,24;0,026
538;-89,22;0,0248
539;-89,2;0,0256
540;-89,18;0,0248
541;-89,16;0,0256
542;-89,14;0,0248
543;-89,12;0,0248
544;-89,1;0,0256
545;-89,08;0,0256
546;-89,06;0,0256
547;-89,04;0,0248
548;-89,02;0,0256
549;-89;0,026
550;-88,98;0,0248
551;-88,96;0,0256
552;-88,94;0,0256
553;-88,92;0,0256
554;-88,9;0,0256
555;-88,88;0,0248
556;-88,86;0,0256
557;-88,84;0,0248
558;-88,82;0,0256
559;-88,8;0,0256
560;-88,78;0,0248
561;-88,76;0,026
562;-88,74;0,0256
563;-88,72;0,0256
564;-88,7;0,0248
565;-88,68;0,0248
566;-88,66;0,0256
567;-88,64;0,0256
568;-88,62;0,0248
569;-88,6;0,0244
570;-88,58;0,0244
571;-88,56;0,0248
572;-88,54;0,0248
573;-88,52;0,0244
574;-88,5;0,0244
575;-88,48;0,0244
576;-88,46;0,0244
577;-88,44;0,0248
578;-88,42;0,0244
579;-88,4;0,0244
580;-88,38;0,0244
581;-88,36;0,0232
582;-88,34;0,0228
583;-88,32;0,0232
584;-88,3;0,0228
585;-88,28;0,024
586;-88,26;0,0228
587;-88,24;0,0244
588;-88,22;0,0244
589;-88,2;0,0248
590;-88,18;0,0256
591;-88,16;0,0248
592;-88,14;0,0244
593;-88,12;0,0244
594;-88,1;0,0232
595;-88,08;0,0248
596;-88,06;0,0244
597;-88,04;0,0244
