Номер отсчёта;Время, с;Напряжение 1_19.06_lmax, В
485;-90,28;0,0312
486;-90,26;0,032
487;-90,24;0,0312
488;-90,22;0,032
489;-90,2;0,0312
490;-90,18;0,032
491;-90,16;0,032
492;-90,14;0,0312
493;-90,12;0,0308
494;-90,1;0,0308
495;-90,08;0,0308
496;-90,06;0,0312
497;-90,04;0,0308
498;-90,02;0,0308
499;-90;0,0308
500;-89,98;0,0308
501;-89,96;0,0312
502;-89,94;0,0308
503;-89,92;0,0308
504;-89,9;0,0308
505;-89,88;0,0308
506;-89,86;0,0308
507;-89,84;0,032
508;-89,82;0,0304
509;-89,8;0,0304
510;-89,78;0,0304
511;-89,76;0,0308
512;-89,74;0,0304
513;-89,72;0,0308
514;-89,7;0,0308
515;-89,68;0,0308
516;-89,66;0,0312
517;-89,64;0,0304
518;-89,62;0,0304
519;-89,6;0,0308
520;-89,58;0,0304
521;-89,56;0,0304
522;-89,54;0,0296
523;-89,52;0,0296
524;-89,5;0,0288
525;-89,48;0,0296
526;-89,46;0,0288
527;-89,44;0,0296
528;-89,42;0,0296
529;-89,4;0,0308
530;-89,38;0,0304
531;-89,36;0,0304
532;-89,34;0,0296
533;-89,32;0,0304
534;-89,3;0,0308
535;-89,28;0,0304
536;-89,26;0,0304
537;-89,24;0,0296
538;-89,22;0,0304
539;-89,2;0,0304
540;-89,18;0,0296
541;-89,16;0,0296
542;-89,14;0,0292
543;-89,12;0,0308
544;-89,1;0,0304
545;-89,08;0,0296
546;-89,06;0,0308
547;-89,04;0,0304
548;-89,02;0,0312
549;-89;0,0288
550;-88,98;0,0296
551;-88,96;0,0292
552;-88,94;0,0288
553;-88,92;0,0288
554;-88,9;0,0292
555;-88,88;0,0288
556;-88,86;0,0292
557;-88,84;0,0296
558;-88,82;0,0292
559;-88,8;0,0304
560;-88,78;0,0296
561;-88,76;0,0292
562;-88,74;0,0288
563;-88,72;0,028
564;-88,7;0,0296
565;-88,68;0,0292
566;-88,66;0,0288
567;-88,64;0,0288
568;-88,62;0,0292
569;-88,6;0,0288
570;-88,58;0,0296
571;-88,56;0,0288
572;-88,54;0,0288
573;-88,52;0,0292
574;-88,5;0,0292
575;-88,48;0,028
576;-88,46;0,0264
577;-88,44;0,0296
578;-88,42;0,0292
579;-88,4;0,0292
580;-88,38;0,0296
581;-88,36;0,0292
582;-88,34;0,0288
583;-88,32;0,0288
584;-88,3;0,0296
585;-88,28;0,0292
586;-88,26;0,0292
587;-88,24;0,0276
588;-88,22;0,0288
589;-88,2;0,0288
590;-88,18;0,0288
591;-88,16;0,0288
592;-88,14;0,0288
593;-88,12;0,0292
594;-88,1;0,0292
595;-88,08;0,0308
596;-88,06;0,0288
597;-88,04;0,0292
598;-88,02;0,0296
599;-88;0,0288
600;-87,98;0,028
601;-87,96;0,028
602;-87,94;0,0288
603;-87,92;0,0292
604;-87,9;0,028
605;-87,88;0,0276
606;-87,86;0,0244
607;-87,84;0,028
608;-87,82;0,028
609;-87,8;0,0288
610;-87,78;0,028
611;-87,76;0,028
612;-87,74;0,0264
613;-87,72;0,0272
614;-87,7;0,0288
615;-87,68;0,0276
616;-87,66;0,0288
617;-87,64;0,0272
618;-87,62;0,0288
619;-87,6;0,0288
620;-87,58;0,0292
621;-87,56;0,0276
622;-87,54;0,0292
623;-87,52;0,028
624;-87,5;0,0288
625;-87,48;0,028
626;-87,46;0,0288
627;-87,44;0,028
628;-87,42;0,0288
629;-87,4;0,028
630;-87,38;0,0288
631;-87,36;0,0296
632;-87,34;0,0288
633;-87,32;0,0288
634;-87,3;0,0272
635;-87,28;0,028
636;-87,26;0,0276
637;-87,24;0,0276
638;-87,22;0,0292
639;-87,2;0,0276
640;-87,18;0,028
641;-87,16;0,028
642;-87,14;0,028
643;-87,12;0,0292
644;-87,1;0,028
645;-87,08;0,028
646;-87,06;0,0276
647;-87,04;0,028
648;-87,02;0,028
649;-87;0,0264
650;-86,98;0,0276
651;-86,96;0,0272
652;-86,94;0,028
653;-86,92;0,028
654;-86,9;0,028
655;-86,88;0,0272
656;-86,86;0,0288
657;-86,84;0,0288
658;-86,82;0,0288
659;-86,8;0,028
660;-86,78;0,0276
661;-86,76;0,028
662;-86,74;0,0288
663;-86,72;0,0276
664;-86,7;0,0296
665;-86,68;0,0276
666;-86,66;0,0276
667;-86,64;0,0272
668;-86,62;0,028
669;-86,6;0,0276
670;-86,58;0,028
671;-86,56;0,0276
672;-86,54;0,0276
673;-86,52;0,0264
674;-86,5;0,0276
675;-86,48;0,0272
676;-86,46;0,0276
677;-86,44;0,0272
678;-86,42;0,0276
679;-86,4;0,0272
680;-86,38;0,0288
681;-86,36;0,0272
682;-86,34;0,0272
683;-86,32;0,0264
684;-86,3;0,0276
685;-86,28;0,0276
686;-86,26;0,028
687;-86,24;0,0276
688;-86,22;0,0276
689;-86,2;0,0272
690;-86,18;0,0272
691;-86,16;0,0264
692;-86,14;0,0272
693;-86,12;0,0272
694;-86,1;0,0272
695;-86,08;0,0276
696;-86,06;0,0276
697;-86,04;0,0272
698;-86,02;0,0272
699;-86;0,0272
700;-85,98;0,0272
701;-85,96;0,0264
702;-85,94;0,0264
703;-85,92;0,0272
704;-85,9;0,028
705;-85,88;0,0272
706;-85,86;0,0272
707;-85,84;0,0272
708;-85,82;0,0272
709;-85,8;0,0264
710;-85,78;0,026
711;-85,76;0,0264
712;-85,74;0,0272
713;-85,72;0,0256
714;-85,7;0,0272
715;-85,68;0,0264
716;-85,66;0,0272
717;-85,64;0,028
718;-85,62;0,0272
719;-85,6;0,026
720;-85,58;0,0272
721;-85,56;0,0272
722;-85,54;0,0276
723;-85,52;0,0272
724;-85,5;0,0272
725;-85,48;0,0264
726;-85,46;0,0304
727;-85,44;0,0264
728;-85,42;0,026
729;-85,4;0,026
730;-85,38;0,0272
731;-85,36;0,0272
732;-85,34;0,0272
733;-85,32;0,0248
734;-85,3;0,0272
735;-85,28;0,0264
736;-85,26;0,0272
737;-85,24;0,0264
738;-85,22;0,0272
739;-85,2;0,026
740;-85,18;0,026
741;-85,16;0,026
742;-85,14;0,0264
743;-85,12;0,026
744;-85,1;0,0276
745;-85,08;0,0272
746;-85,06;0,026
747;-85,04;0,026
748;-85,02;0,0264
749;-85;0,0264
750;-84,98;0,0272
751;-84,96;0,0264
752;-84,94;0,0272
753;-84,92;0,0264
754;-84,9;0,0272
755;-84,88;0,0264
756;-84,86;0,0264
757;-84,84;0,026
758;-84,82;0,026
759;-84,8;0,026
760;-84,78;0,0264
761;-84,76;0,0224
762;-84,74;0,026
763;-84,72;0,0264
764;-84,7;0,0264
765;-84,68;0,026
766;-84,66;0,026
767;-84,64;0,026
768;-84,62;0,0264
769;-84,6;0,026
770;-84,58;0,0256
771;-84,56;0,0248
772;-84,54;0,026
773;-84,52;0,026
774;-84,5;0,0244
775;-84,48;0,026
776;-84,46;0,0264
777;-84,44;0,026
778;-84,42;0,026
779;-84,4;0,026
780;-84,38;0,0272
781;-84,36;0,026
782;-84,34;0,0272
783;-84,32;0,0264
784;-84,3;0,0264
785;-84,28;0,026
786;-84,26;0,026
787;-84,24;0,0256
788;-84,22;0,0264
789;-84,2;0,028
790;-84,18;0,0264
791;-84,16;0,0248
792;-84,14;0,026
793;-84,12;0,0264
794;-84,1;0,0276
795;-84,08;0,0256
796;-84,06;0,0272
797;-84,04;0,0256
798;-84,02;0,026
799;-84;0,026
800;-83,98;0,0264
